Timestamp,Direction
2021-04-22 10:01:35,Leigh_Woods
2021-04-22 10:01:42,Leigh_Woods
2021-04-22 10:01:45,Leigh_Woods
2021-04-22 10:01:57,Leigh_Woods
2021-04-22 10:02:01,Clifton
2021-04-22 10:02:16,Clifton
2021-04-22 10:02:27,Clifton
2021-04-22 10:02:31,Clifton
2021-04-22 10:02:41,Leigh_Woods
2021-04-22 10:02:46,Clifton
2021-04-22 10:02:57,Leigh_Woods
2021-04-22 10:02:59,Leigh_Woods
2021-04-22 10:03:31,Clifton
2021-04-22 10:03:37,Leigh_Woods
2021-04-22 10:03:39,Clifton
2021-04-22 10:03:40,Leigh_Woods
2021-04-22 10:04:00,Clifton
2021-04-22 10:04:13,Clifton
2021-04-22 10:04:16,Clifton
2021-04-22 10:04:17,Leigh_Woods
2021-04-22 10:04:21,Leigh_Woods
2021-04-22 10:05:04,Leigh_Woods
2021-04-22 10:05:30,Leigh_Woods
2021-04-22 10:05:32,Leigh_Woods
2021-04-22 10:05:42,Leigh_Woods
2021-04-22 10:05:50,Leigh_Woods
2021-04-22 10:05:54,Leigh_Woods
2021-04-22 10:05:55,Clifton
2021-04-22 10:06:00,Clifton
2021-04-22 10:06:00,Leigh_Woods
2021-04-22 10:06:03,Leigh_Woods
2021-04-22 10:06:10,Leigh_Woods
2021-04-22 10:06:15,Clifton
2021-04-22 10:06:19,Leigh_Woods
2021-04-22 10:06:25,Clifton
2021-04-22 10:09:56,Clifton
2021-04-22 10:09:58,Clifton
2021-04-22 10:10:23,Leigh_Woods
2021-04-22 10:10:32,Clifton
2021-04-22 10:10:34,Clifton
2021-04-22 10:10:35,Leigh_Woods
2021-04-22 10:10:40,Clifton
2021-04-22 10:10:47,Leigh_Woods
2021-04-22 10:10:50,Clifton
2021-04-22 10:10:54,Leigh_Woods
2021-04-22 10:10:55,Clifton
2021-04-22 10:10:58,Clifton
2021-04-22 10:11:00,Leigh_Woods
2021-04-22 10:11:06,Leigh_Woods
2021-04-22 10:11:12,Clifton
2021-04-22 10:11:13,Leigh_Woods
2021-04-22 10:11:14,Leigh_Woods
2021-04-22 10:11:15,Clifton
2021-04-22 10:11:21,Clifton
2021-04-22 10:12:03,Leigh_Woods
2021-04-22 10:12:04,Clifton
2021-04-22 10:12:07,Leigh_Woods
2021-04-22 10:12:13,Leigh_Woods
2021-04-22 10:12:25,Leigh_Woods
2021-04-22 10:12:29,Clifton
2021-04-22 10:12:37,Clifton
2021-04-22 10:12:39,Clifton
2021-04-22 10:12:41,Clifton
2021-04-22 10:12:43,Clifton
2021-04-22 10:12:48,Clifton
2021-04-22 10:12:53,Clifton
2021-04-22 10:13:03,Leigh_Woods
2021-04-22 10:13:13,Leigh_Woods
2021-04-22 10:13:19,Leigh_Woods
2021-04-22 10:13:21,Leigh_Woods
2021-04-22 10:13:26,Leigh_Woods
2021-04-22 10:13:29,Leigh_Woods
2021-04-22 10:13:45,Leigh_Woods
2021-04-22 10:14:01,Clifton
2021-04-22 10:14:06,Clifton
2021-04-22 10:14:16,Clifton
2021-04-22 10:14:18,Leigh_Woods
2021-04-22 10:14:19,Clifton
2021-04-22 10:14:29,Leigh_Woods
2021-04-22 10:14:46,Leigh_Woods
2021-04-22 10:14:50,Clifton
2021-04-22 10:15:01,Clifton
2021-04-22 10:15:11,Leigh_Woods
2021-04-22 10:15:14,Clifton
2021-04-22 10:15:15,Leigh_Woods
2021-04-22 10:15:22,Leigh_Woods
2021-04-22 10:15:31,Leigh_Woods
2021-04-22 10:15:32,Clifton
2021-04-22 10:15:37,Clifton
2021-04-22 10:15:43,Leigh_Woods
2021-04-22 10:15:52,Leigh_Woods
2021-04-22 10:15:55,Clifton
2021-04-22 10:16:01,Clifton
2021-04-22 10:16:05,Leigh_Woods
2021-04-22 10:16:08,Clifton
2021-04-22 10:16:14,Leigh_Woods
2021-04-22 10:16:22,Clifton
2021-04-22 10:16:26,Clifton
2021-04-22 10:16:27,Leigh_Woods
2021-04-22 10:16:38,Leigh_Woods
2021-04-22 10:16:50,Leigh_Woods
2021-04-22 10:17:02,Clifton
2021-04-22 10:17:17,Clifton
2021-04-22 10:17:38,Clifton
2021-04-22 10:17:51,Leigh_Woods
2021-04-22 10:17:52,Clifton
2021-04-22 10:17:58,Leigh_Woods
2021-04-22 10:18:05,Clifton
2021-04-22 10:18:07,Clifton
2021-04-22 10:18:09,Leigh_Woods
2021-04-22 10:18:10,Clifton
2021-04-22 10:18:15,Clifton
2021-04-22 10:18:17,Leigh_Woods
2021-04-22 10:18:22,Leigh_Woods
2021-04-22 10:18:28,Leigh_Woods
2021-04-22 10:18:38,Clifton
2021-04-22 10:18:42,Clifton
2021-04-22 10:18:55,Clifton
2021-04-22 10:18:56,Leigh_Woods
2021-04-22 10:18:57,Clifton
2021-04-22 10:19:02,Leigh_Woods
2021-04-22 10:19:11,Leigh_Woods
2021-04-22 10:19:14,Leigh_Woods
2021-04-22 10:19:23,Clifton
2021-04-22 10:19:44,Clifton
2021-04-22 10:19:49,Leigh_Woods
2021-04-22 10:20:02,Leigh_Woods
2021-04-22 10:20:14,Leigh_Woods
2021-04-22 10:20:36,Leigh_Woods
2021-04-22 10:20:39,Clifton
2021-04-22 10:20:49,Leigh_Woods
2021-04-22 10:20:54,Clifton
2021-04-22 10:21:05,Clifton
2021-04-22 10:21:21,Clifton
2021-04-22 10:21:29,Clifton
2021-04-22 10:21:35,Leigh_Woods
2021-04-22 10:21:44,Leigh_Woods
2021-04-22 10:21:49,Clifton
2021-04-22 10:21:52,Clifton
2021-04-22 10:21:52,Leigh_Woods
2021-04-22 10:21:54,Clifton
2021-04-22 10:22:08,Clifton
2021-04-22 10:22:08,Leigh_Woods
2021-04-22 10:22:16,Leigh_Woods
2021-04-22 10:23:07,Clifton
2021-04-22 10:23:11,Clifton
2021-04-22 10:23:13,Clifton
2021-04-22 10:23:28,Clifton
2021-04-22 10:23:44,Clifton
2021-04-22 10:23:46,Clifton
2021-04-22 10:23:50,Leigh_Woods
2021-04-22 10:23:52,Leigh_Woods
2021-04-22 10:23:57,Clifton
2021-04-22 10:24:05,Leigh_Woods
2021-04-22 10:24:12,Clifton
2021-04-22 10:24:26,Clifton
2021-04-22 10:24:51,Clifton
2021-04-22 10:24:55,Leigh_Woods
2021-04-22 10:25:15,Leigh_Woods
2021-04-22 10:25:38,Leigh_Woods
2021-04-22 10:25:51,Leigh_Woods
2021-04-22 10:25:59,Clifton
2021-04-22 10:26:06,Leigh_Woods
2021-04-22 10:26:09,Leigh_Woods
2021-04-22 10:26:10,Clifton
2021-04-22 10:26:13,Clifton
2021-04-22 10:26:16,Clifton
2021-04-22 10:26:19,Leigh_Woods
2021-04-22 10:26:29,Leigh_Woods
2021-04-22 10:26:32,Leigh_Woods
2021-04-22 10:26:33,Clifton
2021-04-22 10:26:34,Clifton
2021-04-22 10:26:51,Clifton
2021-04-22 10:27:07,Leigh_Woods
2021-04-22 10:27:14,Leigh_Woods
2021-04-22 10:27:23,Leigh_Woods
2021-04-22 10:27:33,Leigh_Woods
2021-04-22 10:27:35,Leigh_Woods
2021-04-22 10:27:38,Leigh_Woods
2021-04-22 10:27:40,Leigh_Woods
2021-04-22 10:27:43,Clifton
2021-04-22 10:27:49,Leigh_Woods
2021-04-22 10:27:59,Leigh_Woods
2021-04-22 10:28:16,Leigh_Woods
2021-04-22 10:28:22,Leigh_Woods
2021-04-22 10:28:26,Leigh_Woods
2021-04-22 10:28:39,Clifton
2021-04-22 10:28:42,Clifton
2021-04-22 10:28:44,Clifton
2021-04-22 10:28:46,Clifton
2021-04-22 10:28:57,Leigh_Woods
2021-04-22 10:29:02,Leigh_Woods
2021-04-22 10:29:09,Clifton
2021-04-22 10:29:14,Clifton
2021-04-22 10:29:26,Clifton
2021-04-22 10:29:28,Clifton
2021-04-22 10:29:32,Clifton
2021-04-22 10:29:59,Clifton
2021-04-22 10:30:08,Leigh_Woods
2021-04-22 10:30:11,Clifton
2021-04-22 10:30:19,Leigh_Woods
2021-04-22 10:30:22,Clifton
2021-04-22 10:30:31,Clifton
2021-04-22 10:30:33,Clifton
2021-04-22 10:30:37,Clifton
2021-04-22 10:30:38,Leigh_Woods
2021-04-22 10:31:40,Leigh_Woods
2021-04-22 10:31:48,Clifton
2021-04-22 10:31:53,Clifton
2021-04-22 10:32:04,Clifton
2021-04-22 10:32:16,Leigh_Woods
2021-04-22 10:32:18,Clifton
2021-04-22 10:32:24,Clifton
2021-04-22 10:32:33,Leigh_Woods
2021-04-22 10:32:33,Clifton
2021-04-22 10:32:38,Leigh_Woods
2021-04-22 10:32:40,Clifton
2021-04-22 10:32:56,Clifton
2021-04-22 10:33:06,Leigh_Woods
2021-04-22 10:33:08,Leigh_Woods
2021-04-22 10:33:22,Leigh_Woods
2021-04-22 10:33:29,Leigh_Woods
2021-04-22 10:33:32,Clifton
2021-04-22 10:33:32,Leigh_Woods
2021-04-22 10:33:35,Clifton
2021-04-22 10:33:40,Clifton
2021-04-22 10:33:42,Clifton
2021-04-22 10:33:51,Clifton
2021-04-22 10:33:58,Clifton
2021-04-22 10:34:06,Leigh_Woods
2021-04-22 10:34:38,Leigh_Woods
2021-04-22 10:34:47,Leigh_Woods
2021-04-22 10:35:12,Clifton
