0,0.001146339,0.365682002,0.026355401,2.08E-06,8.46E-07,2.18E-06,0.001146339,2.28E-06,0.001165765,1.98E-06
2,0.004826932,1.539791193,0.130086845,3.38E-05,1.94E-05,5.30E-05,0.004826932,3.23E-05,0.003700486,2.75E-05
1,0.003635201,1.159629166,0.086806287,2.02E-05,9.54E-06,2.36E-05,0.003635201,1.67E-05,0.003049643,1.50E-05
0,0.001864916,0.594908169,0.040924801,4.63E-06,1.65E-06,5.25E-06,0.001864916,4.80E-06,0.001787506,4.28E-06
0,0.001617184,0.515881589,0.036611823,3.99E-06,1.57E-06,4.20E-06,0.001617184,3.73E-06,0.001550158,3.58E-06
1,0.00295663,0.943165055,0.076531817,1.05E-05,5.11E-06,1.84E-05,0.00295663,1.09E-05,0.002338435,8.48E-06
1,0.005296238,1.689499932,0.13408068,3.70E-05,1.91E-05,5.64E-05,0.005296238,3.25E-05,0.004107341,2.80E-05
1,0.002171119,0.692586986,0.055701013,6.39E-06,2.85E-06,9.73E-06,0.002171119,8.50E-06,0.0019603,8.87E-06
1,0.003984488,1.271051736,0.110269215,2.05E-05,1.20E-05,3.81E-05,0.003984488,2.22E-05,0.003028684,2.26E-05
2,0.004827701,1.540036617,0.139619604,2.56E-05,1.57E-05,6.11E-05,0.004827701,2.92E-05,0.003319173,3.21E-05
0,0.00188415,0.601043773,0.04242006,4.20E-06,1.48E-06,5.64E-06,0.00188415,4.82E-06,0.001767869,4.95E-06
0,0.001177113,0.375498968,0.026220215,1.89E-06,7.03E-07,2.16E-06,0.001177113,2.03E-06,0.001138155,1.87E-06
0,0.001050169,0.335003981,0.022856093,1.58E-06,5.23E-07,1.64E-06,0.001050169,1.54E-06,0.001019918,1.33E-06
0,0.001310211,0.417957348,0.0303563,2.63E-06,1.05E-06,2.89E-06,0.001310211,2.57E-06,0.001233231,2.38E-06
0,0.000850137,0.271193699,0.019257588,1.13E-06,4.33E-07,1.16E-06,0.000850137,1.06E-06,0.000795861,9.80E-07
0,0.001289439,0.411330896,0.029169361,2.10E-06,8.33E-07,2.67E-06,0.001289439,2.33E-06,0.001178857,2.13E-06
1,0.00454304,1.449229677,0.128228194,2.36E-05,1.40E-05,5.15E-05,0.00454304,2.04E-05,0.003166729,2.15E-05
3,0.009638476,3.074673903,0.261100167,0.0001069,5.90E-05,0.000213709,0.009638476,9.47E-05,0.006798913,9.54E-05
0,0.003455172,1.102199912,0.08586865,1.43E-05,6.58E-06,2.31E-05,0.003455172,1.56E-05,0.002796121,1.20E-05
2,0.005073125,1.618326925,0.128987618,2.41E-05,1.18E-05,5.22E-05,0.005073125,3.60E-05,0.004086701,3.11E-05
0,0.002349609,0.749525391,0.051908226,6.22E-06,2.09E-06,8.45E-06,0.002349609,7.11E-06,0.002137941,5.73E-06
0,0.003145122,1.003293975,0.0938445,8.47E-06,4.14E-06,2.76E-05,0.003145122,1.35E-05,0.002314154,1.44E-05
3,0.008853734,2.824341258,0.215359108,8.61E-05,3.84E-05,0.000145382,0.008853734,8.03E-05,0.00685861,6.61E-05
2,0.004264533,1.360386131,0.108946492,2.31E-05,1.15E-05,3.72E-05,0.004264533,2.17E-05,0.003229957,1.88E-05
0,0.0017172,0.54778673,0.037949591,4.22E-06,1.51E-06,4.51E-06,0.0017172,4.36E-06,0.001709754,3.90E-06
1,0.003668283,1.170182405,0.102654212,1.98E-05,1.12E-05,3.30E-05,0.003668283,1.79E-05,0.002791291,1.43E-05
2,0.004209909,1.342961015,0.114876861,1.73E-05,9.26E-06,4.14E-05,0.004209909,2.22E-05,0.002967003,2.45E-05
1,0.004454564,1.421005899,0.115612235,2.81E-05,1.45E-05,4.19E-05,0.004454564,1.72E-05,0.003127438,1.30E-05
1,0.005140828,1.639924251,0.127450069,2.94E-05,1.34E-05,5.09E-05,0.005140828,2.94E-05,0.003842387,2.74E-05
0,0.001577177,0.503119532,0.037917834,3.85E-06,1.74E-06,4.51E-06,0.001577177,3.08E-06,0.001400484,2.74E-06
1,0.004810775,1.534637286,0.12636008,2.53E-05,1.31E-05,5.01E-05,0.004810775,2.75E-05,0.003587815,3.06E-05
